what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1278833313610
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833314293
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833369725
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1278833375911
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833377201
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833378060
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1278833379524
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833383100
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833418822
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1278833422695
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1278833430949
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1278833434770
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1278833437071
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833437981
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833454156
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1278833459404
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833460903
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833473538
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1278833475653
opened,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1278833476151
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1278833476267
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833476458
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833479186
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833482708
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833490382
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833493967
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833549092
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833555059
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833560565
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833564369
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833567450
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1278833570895
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833572778
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833574482
opened,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1278833580400
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1278833580482
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1278833603891
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1278833622735
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1278833626401
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1278833627984
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833730290
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833744223
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1278833747004
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1278833747467
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1278833748658
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1278833750587
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833783604
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833785518
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833787795
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833796479
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833797871
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833798114
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833798382
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833798828
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833798896
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833799544
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278833799721
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278834342189
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278834344564
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278835056255
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278835056311
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278835058796
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1278835058905
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278835060051
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1278835062475
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1278835062575
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1278835062739
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1278835062906
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1278835063062
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1278835063182
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1278835063313
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1278835063380
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1278835063444
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1278835063544
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1278835063695
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1278835063759
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1278835063954
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1278835064090
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1278835064245
stopped,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1278835064245
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1278835064246
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1278835064297
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1278835064325
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1278835064377
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1278835064577
stopped,bundle,org.eclipse.jst.server.ui,1.1.100.v20100511,"org.eclipse.jst.server.ui",1278835064617
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1278835064656
